seed,jitter,baseline_area,baseline_timing,baseline_power,baseline_energy,baseline_composite,accepted_area,accepted_timing,accepted_power,accepted_energy,accepted_composite
2,0.891566,0.000000000,0.739067269,-0.166456494,0.529452826,0.191647386,0.242568430,4.808269023,1.316519546,6.019548518,2.142004901
3,0.337349,0.000000000,0.677089581,0.176544767,0.808175186,0.284957564,0.242568430,6.327722020,0.983606557,7.207680636,2.556139482
4,0.783133,0.000000000,1.114931958,-0.983606557,0.097711108,0.047453163,0.242568430,7.239393818,0.509457755,7.670768518,2.718510488
5,0.228916,-0.389408339,1.084942754,-1.588902900,-0.531583115,-0.291822611,0.000000000,6.432351020,0.529634300,6.886365946,2.364787164
6,0.674699,0.000000000,-1.852666373,0.842370744,-1.039777745,-0.330469797,0.242568430,7.261385901,-0.095838588,7.131064281,2.529327854
8,0.566265,0.000000000,-2.543750916,1.518284994,-1.031929467,-0.327872003,0.000000000,2.921614885,2.305170240,5.117095964,1.750267961
9,0.012048,0.000000000,-0.353206179,1.023959647,0.630026863,0.225297260,0.000000000,7.116771296,-0.307692308,6.789382030,2.330901115
10,0.457831,-0.389408339,2.523758114,-3.606557377,-1.036865614,-0.459567702,0.000000000,5.739933624,1.457755359,7.072546438,2.429904377
11,0.903614,0.000000000,-1.234222347,0.287515763,-0.988223429,-0.313402761,0.000000000,7.788529463,-0.600252207,7.193613746,2.472294729
12,0.349398,0.000000000,3.348128007,-1.790668348,1.573491250,0.542070942,0.000000000,3.405440708,1.851197982,5.151271527,1.762065461
13,0.795181,0.000000000,1.966625348,-0.741488020,1.195628722,0.414959404,0.000000000,5.847894758,1.235813367,6.969924910,2.394001428
14,0.240964,0.000000000,4.119183761,-1.891551072,2.261934089,0.774499391,0.000000000,4.865581724,1.356872636,6.114538752,2.095760143
15,0.686747,0.000000000,0.198595172,0.418663304,0.572057869,0.205899331,0.000000000,5.901875325,0.105926860,5.959585506,2.041927735
16,0.132530,0.000000000,-2.373145668,2.466582598,0.107396013,0.050683193,0.242568430,4.556359711,2.375788146,6.782300527,2.407465176
17,0.578313,0.000000000,-1.440148213,0.408575032,-1.070791370,-0.340734050,0.000000000,7.239393818,-0.126103405,7.080954932,2.432847326
18,0.024096,-0.389408339,0.104629000,-1.185372005,-1.124629061,-0.488646614,0.242568430,6.188438829,1.770491803,7.808224767,2.766810792
20,0.915663,0.000000000,0.167939542,-0.418663304,-0.294776643,-0.083270861,0.242568430,5.901875325,1.215636822,7.004267953,2.484988295
21,0.361446,0.000000000,1.837338558,-0.015132409,1.778653458,0.611223052,0.000000000,6.578964906,0.176544767,6.702261261,2.300481271
22,0.807229,-0.389408339,-0.617777600,-1.488020177,-2.160579018,-0.830626402,0.000000000,-0.008663548,4.000000000,3.948820694,1.348668290
23,0.253012,0.242568430,-1.226891652,1.730138714,0.480063775,0.255911083,0.000000000,2.641049222,1.800756620,4.351564396,1.486743510
