seed,jitter,area,timing,power,energy,composite
2,0.891566,0.242568430,4.099499815,1.480511633,5.519317876,1.954102501
3,0.337349,0.242568430,5.689153102,0.808489136,6.451646053,2.277672318
4,0.783133,0.242568430,6.193515342,1.478521479,7.580464366,2.672325428
5,0.228916,0.387897832,5.406060933,2.085402185,7.378725005,2.648879745
6,0.674699,0.242568430,8.948270673,-0.946179672,8.086757718,2.850378013
8,0.566265,0.000000000,5.329789239,0.799016595,6.086219934,2.071348591
9,0.012048,0.000000000,7.443685916,-1.345428601,6.198406795,2.110358435
10,0.457831,0.387897832,3.299445535,4.888023369,8.026191235,2.876253745
11,0.903614,0.000000000,8.912748674,-0.890327803,8.101773550,2.776994313
12,0.349398,0.000000000,0.059298076,3.577799802,3.634976312,1.226643798
13,0.795181,0.000000000,3.959130677,1.962747847,5.844170772,1.987288464
14,0.240964,0.000000000,0.778464340,3.188118812,3.941764784,1.331573782
15,0.686747,0.000000000,5.714629130,-0.314051261,5.418524734,1.839816573
16,0.132530,0.242568430,6.768870228,-0.093090608,6.682080802,2.357977081
17,0.578313,0.000000000,8.556318365,-0.536871961,8.065382879,2.764162932
18,0.024096,0.629525345,6.090181925,2.921236291,8.833509611,3.239627078
20,0.915663,0.242568430,5.743581528,1.627486438,7.277591955,2.566122324
21,0.361446,0.000000000,4.830376722,0.191648174,5.012767567,1.699646852
22,0.807229,0.387897832,0.605374186,5.407554672,5.980192918,2.161342014
23,0.253012,-0.243158255,3.821060601,0.071861205,3.890175946,1.233990345
24,0.698795,0.000000000,6.248287751,0.737671787,6.939867682,2.368966075
25,0.144578,0.242568430,4.656138971,1.172034244,5.773601672,2.042141250
26,0.590361,0.242568430,2.489156578,3.470890929,5.873651598,2.076824197
27,0.036145,0.629525345,3.979354769,4.418377322,8.221909182,3.023733275
28,0.481928,0.000000000,9.961375326,-1.988781234,8.170704055,2.801308555
29,0.927711,0.242568430,2.811365178,3.115201780,5.838987260,2.064804801
30,0.373494,0.000000000,5.342680053,0.560366786,5.873108234,1.997330433
31,0.819277,0.000000000,7.906688287,-0.143914474,7.774152682,2.661596697
32,0.265060,0.242568430,5.255284939,2.291856810,7.426698143,2.618377899
33,0.710843,0.000000000,3.399166468,2.351872413,5.671094823,1.927270018
34,0.156627,0.242568430,3.707642186,2.465671043,6.081894970,2.149091985
35,0.602410,0.000000000,3.975886036,1.318305324,5.241777042,1.778709506
36,0.048193,0.000000000,6.127803973,-0.462439626,5.693701741,1.935105366
37,0.493976,-0.243158255,5.843584082,-1.548786784,4.385301957,1.403885695
38,0.939759,0.000000000,5.613983802,0.209790210,5.811996424,1.976125636
39,0.385542,0.242568430,1.439891115,3.766572921,5.152229487,1.827286461
40,0.831325,0.242568430,1.186399383,3.154193872,4.303171919,1.535215664
41,0.277108,0.387897832,6.873785889,0.279441118,7.134018823,2.563220981
42,0.722892,0.000000000,5.437035641,1.402384053,6.763171573,2.307213470
44,0.614458,0.629525345,6.883049425,1.122144985,7.927956616,2.920309745
45,0.060241,0.242568430,3.833099331,3.756194252,7.445314926,2.624906254
46,0.506024,0.629525345,1.637993271,4.693675889,6.254787065,2.335779516
47,0.951807,0.000000000,6.978366135,-1.550708157,5.535872071,1.880429189
48,0.397590,0.629525345,7.507752678,2.445109780,9.769289663,3.571832513
49,0.843373,0.629525345,6.460305852,2.357642358,8.665637302,3.180272567
50,0.289157,0.824541846,5.511207355,4.867776690,10.110710777,3.756652381
51,0.734940,0.387897832,4.344085161,2.857142857,7.077111299,2.543322221
52,0.180723,0.242568430,3.095567725,3.479125249,6.466994296,2.283016962
53,0.626506,0.000000000,2.121583308,3.537549407,5.584080657,1.897123394
54,0.072289,-0.389408339,7.036670624,-1.885644769,5.283712467,1.665890935
55,0.518072,-0.389408339,4.783406514,-0.304105423,4.493847690,1.393302344
56,0.963855,0.000000000,5.282173664,0.020316944,5.301417432,1.799320507
57,0.409639,0.000000000,5.967566856,0.388151175,6.332554850,2.157045524
58,0.855422,0.000000000,2.007734604,2.560000000,4.516336598,1.528695553
59,0.301205,0.000000000,7.370157725,-1.061441110,6.386946498,2.175987964
60,0.746988,-0.243158255,7.316484749,-1.098217986,6.298617714,2.065980505
61,0.192771,0.242568430,8.775913253,-0.239433687,8.557492059,3.016512789
62,0.638554,-0.243158255,7.523705373,-2.033023736,5.643640353,1.838322229
63,0.084337,0.000000000,2.375388356,2.754491018,5.064449515,1.717478285
64,0.530120,0.000000000,8.288997799,-0.988484663,7.382448607,2.523985249
65,0.975904,0.000000000,6.092359539,1.386078511,7.393993163,2.528035468
66,0.421687,0.242568430,3.925074154,2.099869386,5.942522109,2.100712884
67,0.867470,0.000000000,5.959288938,0.202572673,6.149789720,2.093449390
68,0.313253,0.629525345,5.401240744,4.842209073,9.981910448,3.647633601
