seed,jitter,baseline_area,accepted_area,baseline_timing,accepted_timing,baseline_energy,accepted_energy,baseline_composite,accepted_composite
2,0.891566,0.000000000,0.000000000,0.739067269,13.137937009,0.529452826,6.545979746,0.423325208,6.715524035
3,0.337349,0.000000000,0.000000000,0.677089581,10.402921615,0.808175186,5.864112338,0.495717530,5.517866798
4,0.783133,0.000000000,0.000000000,1.114931958,10.406253749,0.097711108,5.867613271,0.405493243,5.520209353
5,0.228916,-0.389408339,0.000000000,1.084942754,10.964719368,-0.531583115,5.825340430,0.057331516,5.702814544
6,0.674699,0.000000000,0.000000000,-1.852666373,13.100617111,-1.039777745,7.119766861,-0.961298681,6.893501037
8,0.566265,0.000000000,0.000000000,-2.543750916,11.952363816,-1.031929467,6.247943065,-1.186509636,6.193520964
9,0.012048,0.000000000,0.000000000,-0.353206179,9.709171365,0.630026863,5.226346597,0.093101979,5.061196574
10,0.457831,-0.389408339,0.000000000,2.523758114,11.424553827,-1.036865614,6.669306754,0.377941305,6.147478144
11,0.903614,0.000000000,0.000000000,-1.234222347,11.969690911,-0.988223429,6.355239768,-0.739400281,6.235472472
12,0.349398,0.000000000,0.000000000,3.348128007,11.992349421,1.573491250,6.823464168,1.650056014,6.400040149
13,0.795181,0.000000000,0.000000000,1.966625348,10.792114839,1.195628722,6.002914748,1.057388133,5.701262818
14,0.240964,0.000000000,0.000000000,4.119183761,10.319618271,2.261934089,5.776589013,2.141515037,5.459312370
15,0.686747,0.000000000,0.000000000,0.198595172,13.025310888,0.572057869,6.863714472,0.257166433,6.781108815
16,0.132530,0.000000000,0.000000000,-2.373145668,10.526210564,0.107396013,5.813039073,-0.748779627,5.544147570
17,0.578313,0.000000000,-0.389408339,-1.440148213,12.870033455,-1.070791370,5.290423424,-0.835126413,6.081795997
18,0.024096,-0.389408339,0.000000000,0.104629000,12.169618937,-1.124629061,7.277080832,-0.468534359,6.614964623
20,0.915663,0.000000000,0.000000000,0.167939542,10.654830928,-0.294776643,5.858260635,-0.042096295,5.604542060
21,0.361446,0.000000000,0.000000000,1.837338558,12.078984899,1.778653458,6.471504374,1.208995165,6.313097410
22,0.807229,-0.389408339,0.000000000,-0.617777600,12.616791288,-2.160579018,6.602641725,-1.052870290,6.548230996
23,0.253012,0.242568430,0.000000000,-1.226891652,10.428912258,0.480063775,5.620213332,-0.165250872,5.445483142
24,0.698795,0.000000000,0.000000000,0.264571421,9.589880976,0.386135390,5.374880323,0.217032426,5.069049871
25,0.144578,0.000000000,0.000000000,0.024657790,11.506524318,0.994098337,6.130476505,0.340662862,5.996226217
26,0.590361,0.000000000,0.000000000,-0.024657790,12.452183880,-0.054170263,6.249985108,-0.026273566,6.372041459
27,0.036145,-0.389408339,0.000000000,1.610753462,13.787703094,-1.586012348,7.593105112,-0.112847490,7.297553084
